Pos	distance
1056052	573
1056802	750
1059427	2625
1059782	355
1061359	1577
1063119	1760
1063237	118
1063363	126
1065564	2201
1066100	536
1068276	2176
1068658	382
1069827	1169
1071632	1805
1074435	2803
1075158	723
1077288	2130
1082218	4930
1083199	981
1083898	699
1088041	4143
1093863	5822
1094818	955
1097438	2620
1101394	3956
1102588	1194
1103925	1337
1105268	1343
1105689	421
1105732	43
1105739	7
1105785	46
1105786	1
1105867	81
1105869	2
1105870	1
1106043	173
1106072	29
1106107	35
1106292	185
1106318	26
1106987	669
1108199	1212
1108640	441
1108804	164
1112329	3525
1112845	516
1112927	82
1113319	392
1117933	4614
1119320	1387
1119709	389
1122492	2783
1124927	2435
1124975	48
1125654	679
1126936	1282
1130680	3744
1130800	120
1132937	2137
1133713	776
1134729	1016
1136396	1667
1138255	1859
1138419	164
1139034	615
1142335	3301
1142535	200
1142644	109
1144670	2026
1145733	1063
1146353	620
1152028	5675
1152625	597
1152928	303
1153503	575
1154770	1267
1154968	198
1155701	733
1156135	434
1156229	94
1161520	5291
1161547	27
1161927	380
1162564	637
1163533	969
1163719	186
1163772	53
1163968	196
1164805	837
1166195	1390
1166748	553
1169571	2823
1172170	2599
1172641	471
1173446	805
1173814	368
1174459	645
1178125	3666
1188126	10001
1189756	1630
1189929	173
1190102	173
1191813	1711
1192174	361
1194086	1912
1196292	2206
1197192	900
1197396	204
1199444	2048
1200862	1418
1201310	448
1202401	1091
1204106	1705
1207031	2925
1207348	317
1207723	375
1208343	620
1210963	2620
1211082	119
1211648	566
1212541	893
1212763	222
1213356	593
1214624	1268
1216348	1724
1216623	275
1219932	3309
1221302	1370
1221662	360
1226871	5209
1237841	10970
1240844	3003
1241010	166
1242212	1202
1242685	473
1248060	5375
1248138	78
1248246	108
1248810	564
1249286	476
1250357	1071
1250972	615
1251727	755
1251812	85
1256594	4782
1256859	265
1258181	1322
1258383	202
1258488	105
1258754	266
1260557	1803
1261233	676
1265898	4665
1267034	1136
1272619	5585
1273947	1328
1281450	7503
1282470	1020
1282529	59
1283068	539
1283864	796
1284756	892
1285116	360
1286270	1154
1287410	1140
1289632	2222
1290007	375
1290440	433
1290605	165
1292689	2084
1294883	2194
1298073	3190
1300225	2152
1301885	1660
1302305	420
1302799	494
1303859	1060
1305021	1162
1309165	4144
1309447	282
1312064	2617
1312657	593
1312788	131
1314720	1932
1315711	991
1316251	540
1318417	2166
1318868	451
1319323	455
1319329	6
1319797	468
1320238	441
1323002	2764
1324876	1874
1325639	763
1326290	651
1326445	155
1326473	28
1327963	1490
1331525	3562
1333076	1551
1333276	200
1334879	1603
1335250	371
1340614	5364
1343813	3199
1344811	998
1345710	899
1346271	561
1347605	1334
1348370	765
1348451	81
1349470	1019
1350571	1101
1352570	1999
1354480	1910
1358204	3724
1359327	1123
1360018	691
1360706	688
1362098	1392
1362909	811
1367141	4232
1367929	788
1368591	662
1370487	1896
1370910	423
1373167	2257
1375844	2677
1378058	2214
1380741	2683
1380945	204
1381079	134
1382149	1070
1382377	228
1384011	1634
1387483	3472
1389913	2430
1389955	42
1390035	80
1392935	2900
1392936	1
1392937	1
1392968	31
1394742	1774
1394842	100
1394965	123
1396802	1837
1397970	1168
1399467	1497
1399680	213
1400682	1002
1400920	238
1402814	1894
1403079	265
1405877	2798
1406038	161
1406980	942
1407707	727
1409363	1656
1410875	1512
1413140	2265
1415475	2335
1416182	707
1416192	10
1416470	278
1416768	298
1416800	32
1419957	3157
1422357	2400
1423371	1014
1423569	198
1423600	31
1425456	1856
1430504	5048
1431494	990
1432289	795
1432593	304
1432789	196
1433293	504
1433391	98
1434765	1374
1437970	3205
1438429	459
1441159	2730
1441631	472
1442539	908
1443371	832
1444527	1156
1444602	75
1444662	60
1444928	266
1447167	2239
1448517	1350
1449160	643
1450896	1736
1457741	6845
1463830	6089
1464516	686
1466179	1663
1466927	748
1470118	3191
1473748	3630
1476173	2425
1479114	2941
1479703	589
1484126	4423
1484275	149
1487556	3281
1487725	169
1487734	9
1489351	1617
1489630	279
1498776	9146
1505796	7020
1506608	812
1506692	84
1506841	149
1507156	315
1508170	1014
1511710	3540
1512039	329
1520079	8040
1520336	257
1521289	953
1521705	416
1522092	387
1523582	1490
1524371	789
1528309	3938
1529614	1305
1531853	2239
1532155	302
1532645	490
1534970	2325
1536293	1323
1536809	516
1538501	1692
1538919	418
1543001	4082
1544443	1442
1545684	1241
1546276	592
1548484	2208
1551055	2571
1551570	515
1553609	2039
1555004	1395
1555250	246
1557198	1948
1558830	1632
1561327	2497
1561738	411
1567076	5338
1567990	914
1568588	598
1569435	847
1571602	2167
1574602	3000
1578976	4374
1579629	653
1579856	227
1580461	605
1580625	164
1581105	480
1581417	312
1581972	555
1582989	1017
1583732	743
1586107	2375
1587742	1635
1591561	3819
1591574	13
1591787	213
1591800	13
1591864	64
1591900	36
1592013	113
1593684	1671
1595325	1641
1596815	1490
1598652	1837
1600893	2241
1605205	4312
1605262	57
1605370	108
1608297	2927
1608532	235
1609252	720
1609579	327
1611638	2059
1612137	499
1613838	1701
1619936	6098
1620759	823
1622844	2085
1623431	587
1626701	3270
1627521	820
1629847	2326
1631937	2090
1632117	180
1634895	2778
1638208	3313
1638660	452
1639136	476
1640234	1098
1642430	2196
1642663	233
1644696	2033
1645115	419
1646925	1810
1648364	1439
1649064	700
1651778	2714
1653089	1311
1655033	1944
1656317	1284
1656767	450
1657844	1077
1658326	482
1659388	1062
1662098	2710
1662886	788
1665140	2254
1665602	462
1666042	440
1671525	5483
1671903	378
1673398	1495
1673707	309
1674459	752
1675400	941
1678374	2974
1678407	33
1679291	884
1681969	2678
1682072	103
1682434	362
1682632	198
1682720	88
1683398	678
1683506	108
1684758	1252
1684923	165
1687568	2645
1688181	613
1689226	1045
1690307	1081
1691061	754
1691437	376
1696786	5349
1698695	1909
1699305	610
1699708	403
1699814	106
1701497	1683
1702161	664
1703792	1631
1703805	13
1703812	7
1704849	1037
1705128	279
1705978	850
1707641	1663
1707801	160
1708375	574
1709288	913
1709619	331
1710511	892
1710664	153
1712258	1594
1714420	2162
1716038	1618
1717623	1585
1718747	1124
1720471	1724
1722206	1735
1722794	588
1723889	1095
1724204	315
1724418	214
1725202	784
1725331	129
1729257	3926
1730545	1288
1731071	526
1731756	685
1736391	4635
1736548	157
1737060	512
1737536	476
1738559	1023
1739314	755
1739339	25
1739581	242
1739601	20
1739604	3
1739607	3
1739637	30
1739770	133
1740989	1219
1742563	1574
1742926	363
1743311	385
1746218	2907
1746495	277
1748386	1891
1749245	859
1751742	2497
1751892	150
1752583	691
1754648	2065
1754837	189
1755220	383
1758453	3233
1760347	1894
1760570	223
1760590	20
1763009	2419
1763049	40
1766626	3577
1770722	4096
1771504	782
1772519	1015
1777013	4494
1777033	20
1778212	1179
1778426	214
1778910	484
1779397	487
1781176	1779
1781868	692
1782820	952
1783228	408
1784664	1436
1785240	576
1787748	2508
1788834	1086
1789367	533
1790301	934
1791063	762
1793938	2875
1796801	2863
1796873	72
1800387	3514
1803986	3599
1804199	213
1805413	1214
1806390	977
1806458	68
1806558	100
1806592	34
1807059	467
1809265	2206
1810240	975
1812165	1925
1812391	226
1814603	2212
1814852	249
1814971	119
1815166	195
1815478	312
1816292	814
1817685	1393
1822406	4721
1822582	176
1825611	3029
1828718	3107
1828816	98
1829179	363
1829442	263
1830081	639
1830571	490
1831490	919
1831844	354
1832146	302
1833833	1687
1835003	1170
1841440	6437
1842480	1040
1843137	657
1843900	763
1846845	2945
1847172	327
1850587	3415
1850792	205
1852895	2103
1853711	816
1853901	190
1854866	965
1855774	908
1856428	654
1856579	151
1858232	1653
1858428	196
1859296	868
1861055	1759
1861730	675
1862298	568
1863319	1021
1864633	1314
1864802	169
1865944	1142
1870765	4821
1870798	33
1870919	121
1871008	89
1871085	77
1872623	1538
1875790	3167
1878260	2470
1878708	448
1882403	3695
1884348	1945
1890341	5993
1891195	854
1892333	1138
1895671	3338
1897121	1450
1898393	1272
1898519	126
1902961	4442
1904166	1205
1904385	219
1905104	719
1905564	460
1907207	1643
1907334	127
1907972	638
1911029	3057
1913363	2334
1915442	2079
1915518	76
1916157	639
1916558	401
1926463	9905
1928043	1580
1930400	2357
1934604	4204
1935091	487
1935373	282
1936073	700
1936463	390
1937089	626
1937279	190
1938654	1375
1939764	1110
1939869	105
1940928	1059
1941241	313
1942396	1155
1945061	2665
1945194	133
1946884	1690
1949171	2287
1949826	655
1950463	637
1954357	3894
1955693	1336
1956688	995
1956865	177
1957070	205
1959442	2372
1961842	2400
1962312	470
1964182	1870
1965408	1226
1966920	1512
1969296	2376
1969792	496
1971031	1239
1973756	2725
1974378	622
1975061	683
1976134	1073
1976467	333
1978118	1651
1981465	3347
1988370	6905
1991245	2875
1991683	438
1992789	1106
1993204	415
1994195	991
1994614	419
1994923	309
1995890	967
1997816	1926
1998929	1113
2000277	1348
2000584	307
2001853	1269
2004090	2237
2004191	101
2004772	581
2006230	1458
2008478	2248
2010212	1734
2012079	1867
2012517	438
2018225	5708
2020150	1925
2023494	3344
2027627	4133
2028177	550
2029187	1010
2033769	4582
2035731	1962
2036504	773
2038787	2283
2038998	211
2039036	38
2041311	2275
2046592	5281
2047250	658
2047613	363
2051411	3798
2053447	2036
2054414	967
2057046	2632
2061048	4002
2061651	603
2061948	297
2063634	1686
2064268	634
2065192	924
2065558	366
2066259	701
2066976	717
2077594	10618
2081041	3447
2081749	708
2082921	1172
2084293	1372
2084519	226
2087371	2852
2088447	1076
2089513	1066
2092764	3251
2092835	71
2092907	72
2098898	5991
2098947	49
2100286	1339
2103620	3334
2103913	293
2105175	1262
2105703	528
2105743	40
2106174	431
2107598	1424
2107893	295
2109483	1590
2109593	110
2117367	7774
2120985	3618
2120993	8
2122679	1686
2122702	23
2127074	4372
2128189	1115
2129636	1447
2131706	2070
2133360	1654
2135354	1994
2138011	2657
2143221	5210
2150989	7768
2152856	1867
2154355	1499
2162035	7680
2163145	1110
2164320	1175
2164564	244
2165288	724
2166807	1519
2169525	2718
2171301	1776
2172465	1164
2172560	95
2173767	1207
2175252	1485
2175818	566
2177085	1267
2177299	214
2181582	4283
2184321	2739
2187730	3409
2189816	2086
2194319	4503
2196322	2003
2196603	281
2197412	809
2197432	20
2197566	134
2197704	138
2197984	280
2199643	1659
2200034	391
2200442	408
2201020	578
2201843	823
2204628	2785
2204974	346
2205782	808
2206485	703
2206675	190
2207088	413
2207134	46
2207690	556
2207702	12
2207717	15
2207725	8
2207757	32
2207759	2
2207774	15
2207828	54
2207831	3
2207876	45
2207909	33
2207927	18
2207966	39
2208013	47
2208023	10
2209676	1653
2212921	3245
2214060	1139
2216802	2742
2218083	1281
2223481	5398
2228681	5200
2231283	2602
2231985	702
2233365	1380
2236226	2861
2237305	1079
2237957	652
2238434	477
2239022	588
2241267	2245
2242796	1529
2243481	685
2248124	4643
2249941	1817
2250255	314
2252095	1840
2252098	3
2252593	495
2253240	647
2254713	1473
2255169	456
2255488	319
2256234	746
2256245	11
2257279	1034
2258702	1423
2262018	3316
2262178	160
2262825	647
2265891	3066
2267008	1117
2268791	1783
2270002	1211
2271632	1630
2272079	447
2275011	2932
2275066	55
2276129	1063
2277082	953
2277509	427
2277653	144
2281377	3724
2284934	3557
2287995	3061
2288092	97
2289043	951
2289222	179
2291722	2500
2291924	202
2294332	2408
2294760	428
2295912	1152
2298239	2327
2299078	839
2300314	1236
2300941	627
2301183	242
2302834	1651
2305124	2290
2306008	884
2307855	1847
2309665	1810
2310261	596
2313298	3037
2318096	4798
2319228	1132
2323959	4731
2324542	583
2324973	431
2325634	661
2327072	1438
2329352	2280
2333587	4235
2334745	1158
2335591	846
2338738	3147
2339169	431
2340384	1215
2341027	643
2341442	415
2341941	499
2341989	48
2344374	2385
2345438	1064
2348248	2810
2355879	7631
2358298	2419
2361781	3483
2367613	5832
2367794	181
2371614	3820
2372075	461
2372100	25
2380977	8877
2381208	231
2385381	4173
2386102	721
2387118	1016
2388272	1154
2393926	5654
2394592	666
2394711	119
2403843	9132
2404294	451
2405992	1698
2406390	398
2410739	4349
2412583	1844
2412634	51
2418703	6069
2419231	528
2423889	4658
2425423	1534
2427221	1798
2427710	489
2429993	2283
2431121	1128
2438197	7076
2439113	916
2439403	290
2441292	1889
2441323	31
2441370	47
2441608	238
2441977	369
2442070	93
2442656	586
2449018	6362
2451135	2117
2452497	1362
2454981	2484
2457202	2221
2460044	2842
2460067	23
2463387	3320
2463917	530
2464155	238
2469374	5219
2469918	544
2469942	24
2473042	3100
2473731	689
2474523	792
2475195	672
2481929	6734
2482310	381
2483390	1080
2483438	48
2483504	66
2483507	3
2483570	63
2483573	3
2483576	3
2483585	9
2483591	6
2483642	51
2483672	30
2483706	34
2483720	14
2483867	147
2483882	15
2483883	1
2483884	1
2483885	1
2483966	81
2483978	12
2484008	30
2484017	9
2484032	15
2484116	84
2484158	42
2484161	3
2484173	12
2484188	15
2484242	54
2484305	63
2484308	3
2484310	2
2484386	76
2484482	96
2484485	3
2484518	33
2484519	1
2484524	5
2484743	219
2484776	33
2484779	3
2484878	99
2490374	5496
2491349	975
2492154	805
2494600	2446
2496246	1646
2499589	3343
2499832	243
2503878	4046
2506937	3059
2507924	987
2510026	2102
2510562	536
2511675	1113
2511685	10
2515999	4314
2521316	5317
2524218	2902
2525707	1489
2526027	320
2527266	1239
2528201	935
2528286	85
2529813	1527
2529927	114
2529946	19
2532506	2560
2534266	1760
2537566	3300
2537739	173
2539102	1363
2540359	1257
2542904	2545
2545011	2107
2552771	7760
2555098	2327
2555917	819
2558241	2324
2559726	1485
2562375	2649
2563225	850
2564105	880
2567041	2936
2570070	3029
2574013	3943
2574764	751
2577838	3074
2578831	993
2579256	425
2581825	2569
2582365	540
2582969	604
2584169	1200
2587171	3002
2591223	4052
2593158	1935
2594025	867
2595546	1521
2595582	36
2597552	1970
2600630	3078
2600967	337
2602675	1708
2605709	3034
2606325	616
2606845	520
2607577	732
2607953	376
2611478	3525
2613650	2172
2615225	1575
2616829	1604
2617365	536
2618302	937
2618893	591
2619930	1037
2620437	507
2620474	37
2621550	1076
2622199	649
2623529	1330
2623869	340
2624408	539
2629219	4811
2630607	1388
2631864	1257
2632006	142
2632326	320
2633878	1552
2635764	1886
2637261	1497
2637894	633
2637897	3
2638034	137
2638098	64
2638187	89
2638253	66
2638279	26
2638342	63
2638375	33
2638384	9
2638390	6
2638399	9
2638578	179
2638597	19
2638641	44
2638675	34
2638746	71
2638814	68
2640097	1283
2641728	1631
2650723	8995
2653206	2483
2654236	1030
2655522	1286
2656110	588
2659664	3554
2661040	1376
2662794	1754
2664782	1988
2665401	619
2667291	1890
2667809	518
2668014	205
2668708	694
2669174	466
2670245	1071
2673803	3558
2677069	3266
2679004	1935
2680176	1172
2683093	2917
2684310	1217
2684368	58
2685912	1544
2686856	944
2687318	462
2690861	3543
2691952	1091
2695445	3493
2696284	839
2697393	1109
2699200	1807
2702494	3294
2708339	5845
2712967	4628
2713301	334
2713639	338
2714695	1056
2716099	1404
2721578	5479
2722249	671
2723511	1262
2727005	3494
2728117	1112
2729912	1795
2730399	487
2731178	779
2731655	477
2738784	7129
2738916	132
2739616	700
2739832	216
2739917	85
2741015	1098
2743525	2510
2744181	656
2744439	258
2746540	2101
2748957	2417
2749572	615
2750890	1318
2751025	135
2751387	362
2751662	275
2753652	1990
2755202	1550
2755306	104
2758227	2921
2764122	5895
2766381	2259
2766394	13
2769258	2864
2769464	206
2770166	702
2772758	2592
2773699	941
2777274	3575
2780776	3502
2781226	450
2785901	4675
2788087	2186
2788584	497
2790456	1872
2792836	2380
2794917	2081
2796527	1610
2797259	732
2797327	68
2797979	652
2798626	647
2803153	4527
2805907	2754
2807008	1101
2807331	323
2810195	2864
2810357	162
2811527	1170
2811990	463
2812573	583
2812614	41
2812773	159
2813210	437
2813265	55
2817501	4236
2819157	1656
2820109	952
2821769	1660
2822399	630
2822590	191
2823993	1403
2824521	528
2825110	589
2825225	115
2827473	2248
2827562	89
2830469	2907
2831549	1080
2832515	966
2834413	1898
2835219	806
2835647	428
2836116	469
2838553	2437
2840419	1866
2841394	975
2844103	2709
2844778	675
2845131	353
2845964	833
2846990	1026
2847535	545
2848722	1187
2849947	1225
2850278	331
2850364	86
2851000	636
2853087	2087
2854378	1291
2855128	750
2855608	480
2855815	207
2858623	2808
2858854	231
2858864	10
2859092	228
2861224	2132
2863467	2243
2864447	980
2865034	587
2866175	1141
2868231	2056
2868812	581
2869331	519
2869543	212
2870337	794
2871419	1082
2877223	5804
2877692	469
2877712	20
2878188	476
2879082	894
2884800	5718
2887232	2432
2891662	4430
2893739	2077
2894515	776
2899096	4581
2899605	509
2900289	684
2902305	2016
2903407	1102
2903966	559
2904422	456
2904514	92
2904956	442
2908619	3663
2908909	290
2909861	952
2910805	944
2911969	1164
2912508	539
2912914	406
2915862	2948
2917249	1387
2918571	1322
2924548	5977
2924939	391
2930051	5112
2930463	412
2931400	937
2933320	1920
2933551	231
2934045	494
2934408	363
2934452	44
2939797	5345
2941184	1387
2943446	2262
2945067	1621
2946102	1035
2947119	1017
2949088	1969
2951192	2104
2952572	1380
2954244	1672
2956153	1909
2960223	4070
2960585	362
2962816	2231
2963187	371
2963346	159
2966062	2716
2966473	411
2966530	57
2967343	813
2967373	30
2968621	1248
2975189	6568
2975620	431
2976235	615
2978039	1804
2978375	336
2978423	48
2979460	1037
2979889	429
2979895	6
2982835	2940
2984541	1706
2989527	4986
2989997	470
2991263	1266
2991536	273
2993432	1896
2994072	640
2994300	228
2996654	2354
2997122	468
2999448	2326
2999650	202
3001355	1705
3001987	632
3002317	330
3003042	725
3004832	1790
3005083	251
3009159	4076
3009876	717
3010311	435
3014476	4165
3015449	973
3016009	560
3016038	29
3017314	1276
3018012	698
3019608	1596
3020953	1345
3025580	4627
3031199	5619
3033046	1847
3035807	2761
3040820	5013
3041050	230
3042106	1056
3042155	49
3043006	851
3043319	313
3044010	691
3045501	1491
3045643	142
3045734	91
3048614	2880
3049436	822
3051630	2194
3051973	343
3054657	2684
3058198	3541
3058710	512
3060482	1772
3061654	1172
3063741	2087
3068592	4851
3071288	2696
3071554	266
3074983	3429
3076144	1161
3078397	2253
3080330	1933
3080423	93
3082387	1964
3082642	255
3083035	393
3083894	859
3085941	2047
3086083	142
3088201	2118
3088927	726
3089106	179
3091738	2632
3093356	1618
3094927	1571
3095787	860
3097212	1425
3099616	2404
3101633	2017
3101932	299
3103684	1752
3104275	591
3105187	912
3105506	319
3108069	2563
3111197	3128
3111766	569
3112667	901
3113224	557
3113672	448
3114583	911
3115275	692
3120598	5323
3122818	2220
3122938	120
3122974	36
3123681	707
3126411	2730
3126731	320
3130411	3680
3131320	909
3133695	2375
3134518	823
3136804	2286
3136977	173
3137804	827
3138098	294
3139378	1280
3141590	2212
3142732	1142
3143097	365
3143696	599
3146045	2349
3146603	558
3149727	3124
3152447	2720
3157361	4914
3158213	852
3159195	982
3162856	3661
